starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:30 2021,1639340130,0,875,875,875
Sun Dec 12 15:15:34 2021,1639340134,0,881,881,881
Sun Dec 12 15:15:35 2021,1639340135,0,882,882,882
Sun Dec 12 15:15:29 2021,1639340129,0,885,885,885
Sun Dec 12 15:15:29 2021,1639340129,0,890,890,890
Sun Dec 12 15:15:25 2021,1639340125,0,894,894,894
Sun Dec 12 15:15:26 2021,1639340126,0,895,895,895
Sun Dec 12 15:15:39 2021,1639340139,0,900,900,900
Sun Dec 12 15:15:39 2021,1639340139,0,901,901,901
Sun Dec 12 15:15:25 2021,1639340125,0,903,903,903
Sun Dec 12 15:15:40 2021,1639340140,0,905,905,905
Sun Dec 12 15:15:38 2021,1639340138,0,907,907,907
Sun Dec 12 15:15:34 2021,1639340134,0,913,913,912
